for_profit_hotel_id,address_number_july,address_street_july,block_lot_july,cofu_residential,cofu_tourist,reported_occupied_residential_july,reported_occupied_tourist_july,vacant_residential_july,vacant_tourist_july,total_reported_hotel_units_july,aaur_filing_received_july,aaur_sufficient_july,address_number_august,address_street_august,block_lot_august,reported_occupied_residential_august,reported_occupied_tourist_august,vacant_residential_august,vacant_tourist_august,total_reported_hotel_units_august,average_rent_dollars,aaur_filing_received_august,aaur_sufficient_august,became_compliant
152,4330,GEARY BL,1439 020 01,12,0,12,0,0,0,12,TRUE,FALSE,4330,GEARY BL,1439 020 01,12,0,0,0,12,980,TRUE,TRUE,TRUE
153,432,GEARY ST,0306 006 01,61,8,39,6,22,2,69,TRUE,TRUE,432,GEARY ST,0306 006 01,39,6,22,2,69,1750,TRUE,TRUE,FALSE
154,520,GEARY ST,0305 007 01,38,0,38,0,0,0,38,TRUE,TRUE,520,GEARY ST,0305 007 01,38,0,0,0,38,1280.28,TRUE,TRUE,FALSE
155,610,GEARY ST,0304 005 01,12,103,1,87,11,16,115,TRUE,FALSE,610,GEARY ST,0304 005 01,1,87,11,16,115,3750,TRUE,TRUE,TRUE
156,630,GEARY ST,0304 006 01,54,0,54,0,0,0,54,TRUE,TRUE,630,GEARY ST,0304 006 01,54,0,0,0,54,575,TRUE,TRUE,FALSE
157,676,GEARY ST,0304 009,8,0,NA,NA,NA,NA,NA,FALSE,FALSE,676,GEARY ST,0304 009,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
158,725,GEARY ST,0319 026 01,15,7,NA,NA,NA,NA,NA,TRUE,FALSE,725,GEARY ST,0319 026 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
159,765,GEARY ST,0319 023 01,8,0,8,0,0,0,8,TRUE,TRUE,765,GEARY ST,0319 023 01,8,0,0,0,8,1485,TRUE,TRUE,FALSE
160,910,GEARY ST,0693 006 01,61,0,NA,NA,NA,NA,NA,TRUE,FALSE,910,GEARY ST,0693 006 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
161,925,GEARY ST,0716 001A 01,9,0,9,0,0,0,9,TRUE,TRUE,925,GEARY ST,0716 001A 01,9,0,0,0,9,1252.56,TRUE,TRUE,FALSE
162,935,GEARY ST,0716 011 01,114,0,114,0,2,0,116,TRUE,TRUE,935,GEARY ST,0716 011 01,114,0,2,0,116,1100,TRUE,TRUE,FALSE
163,248,GOLDEN GATE AV,0345 006 01,14,0,13,0,1,0,14,TRUE,TRUE,248,GOLDEN GATE AV,0345 006 01,13,0,1,0,14,893.88,TRUE,TRUE,FALSE
164,284,GOLDEN GATE AV,0345 008 01,23,0,20,0,3,0,23,TRUE,FALSE,284,GOLDEN GATE AV,0345 008 01,20,0,3,0,23,467,TRUE,TRUE,TRUE
165,378,GOLDEN GATE AV,0346 006 01,11,0,10,0,1,0,11,TRUE,TRUE,378,GOLDEN GATE AV,0346 006 01,10,0,1,0,11,763.88,TRUE,TRUE,FALSE
166,828,GRANT,0209 004 01,40,0,40,0,0,0,40,TRUE,TRUE,828,GRANT,0209 004 01,40,0,0,0,40,448.93,TRUE,TRUE,FALSE
167,523,GRANT AV,0257 003 01,10,0,10,0,0,0,10,TRUE,TRUE,523,GRANT AV,0257 003 01,10,0,0,0,10,725,TRUE,TRUE,FALSE
168,654,GRANT AV,0241 015 01,20,0,20,0,0,0,20,TRUE,TRUE,654,GRANT AV,0241 015 01,20,0,0,0,20,823.18,TRUE,TRUE,FALSE
169,710,GRANT AV,0226 018 01,44,0,44,0,0,0,44,TRUE,TRUE,710,GRANT AV,0226 018 01,44,0,0,0,44,493.34,TRUE,TRUE,FALSE
170,861,GRANT AV,0210 001 01,8,0,0,0,8,0,8,TRUE,TRUE,861,GRANT AV,0210 001 01,0,0,8,0,8,0,TRUE,TRUE,FALSE
171,917,GRANT AV,0193 009 01,14,0,14,0,0,0,14,TRUE,TRUE,917,GRANT AV,0193 009 01,14,0,0,0,14,563.97,TRUE,TRUE,FALSE
172,924,GRANT AV,0194 014 01,20,0,19,0,1,0,20,TRUE,FALSE,924,GRANT AV,0194 014 01,19,0,1,0,20,583.98,TRUE,FALSE,FALSE
173,933,GRANT AV,0193 007 01,33,0,45,0,1,0,45,TRUE,FALSE,933,GRANT AV,0193 007 01,46,0,NA,0,48,423,TRUE,TRUE,TRUE
174,1134,GRANT AV,0162 013 01,20,0,21,0,0,0,21,TRUE,TRUE,1134,GRANT AV,0162 013 01,21,0,0,0,21,568.16,TRUE,TRUE,FALSE
175,1226,GRANT AV,0145 015 01,40,0,40,0,0,0,40,TRUE,TRUE,1226,GRANT AV,0145 015 01,40,0,0,0,40,503.1,TRUE,TRUE,FALSE
176,1232,GRANT AV,0145 030,10,0,10,0,0,0,10,TRUE,TRUE,1232,GRANT AV,0145 030,10,0,0,0,10,250,TRUE,TRUE,FALSE
177,1327,GRANT AV,0131 005 01,15,0,15,0,0,0,15,TRUE,TRUE,1327,GRANT AV,0131 005 01,15,0,0,0,15,350,TRUE,TRUE,FALSE
178,517,GREEN ST,0131 024 01,20,0,0,0,0,0,20,TRUE,TRUE,517,GREEN ST,0131 024 01,0,0,0,0,20,892.78,TRUE,TRUE,FALSE
179,465,GROVE ST,0808 043 01,5,36,1,26,4,10,41,TRUE,TRUE,465,GROVE ST,0808 043 01,1,26,4,10,41,4500,TRUE,TRUE,FALSE
180,492,GROVE ST,0793 019 01,18,0,18,0,0,0,18,TRUE,TRUE,492,GROVE ST,0793 019 01,18,0,0,0,18,1293.87,TRUE,TRUE,FALSE
181,1200,HAIGHT ST,1234 005 01,14,0,13,0,1,0,14,TRUE,TRUE,1200,HAIGHT ST,1234 005 01,13,0,1,0,14,1141,TRUE,TRUE,FALSE
182,995,HOWARD ST,3732 124 01,50,2,49,0,3,0,52,TRUE,TRUE,995,HOWARD ST,3732 124 01,49,0,3,0,52,650,TRUE,TRUE,FALSE
183,1554,HOWARD ST,3511 018 01,35,0,35,0,0,0,35,TRUE,TRUE,1554,HOWARD ST,3511 018 01,35,0,0,0,35,475,TRUE,TRUE,FALSE
184,120,HYDE ST,0345 009 01,32,0,24,0,8,0,32,TRUE,FALSE,120,HYDE ST,0345 009 01,24,0,8,0,32,750,TRUE,FALSE,FALSE
185,1369,HYDE ST,0217 025 01,13,0,13,0,0,0,13,TRUE,TRUE,1369,HYDE ST,0217 025 01,13,0,0,0,13,974,TRUE,TRUE,FALSE
186,1531,HYDE ST,0185 005 01,18,0,18,0,0,0,18,TRUE,TRUE,1531,HYDE ST,0185 005 01,18,0,0,0,18,860,TRUE,TRUE,FALSE
187,617,JACKSON ST,0194 033 01,8,0,3,5,0,0,8,TRUE,FALSE,617,JACKSON ST,0194 033 01,3,5,0,0,8,100,TRUE,FALSE,FALSE
188,624,JACKSON ST,0177 005 01,12,0,12,0,0,0,12,TRUE,TRUE,624,JACKSON ST,0177 005 01,12,0,0,0,12,442,TRUE,TRUE,FALSE
189,629,JACKSON ST,0194 032 01,9,0,5,0,4,0,9,TRUE,TRUE,629,JACKSON ST,0194 032 01,5,0,4,0,9,203.13,TRUE,TRUE,FALSE
190,706,JACKSON ST,0178 003 01,83,0,83,0,0,0,83,TRUE,TRUE,706,JACKSON ST,0178 003 01,83,0,0,0,83,473,TRUE,TRUE,FALSE
191,840,JACKSON ST,0179 013 01,15,0,15,0,0,0,15,TRUE,TRUE,840,JACKSON ST,0179 013 01,15,0,0,0,15,375,TRUE,TRUE,FALSE
192,912,JACKSON ST,0180 007 01,23,0,23,0,0,0,23,TRUE,TRUE,912,JACKSON ST,0180 007 01,23,0,0,0,23,567.65,TRUE,TRUE,FALSE
193,344,JONES ST,0332 010 01,59,11,31,3,28,8,70,TRUE,TRUE,344,JONES ST,0332 010 01,31,3,28,8,70,74,TRUE,TRUE,FALSE
194,439,JONES ST,0323 002 01,28,17,16,16,12,1,45,TRUE,TRUE,439,JONES ST,0323 002 01,16,16,12,1,45,950,TRUE,TRUE,FALSE
195,450,JONES ST,0324 014 01,18,0,17,0,1,0,18,TRUE,TRUE,450,JONES ST,0324 014 01,17,0,1,0,18,809.32,TRUE,TRUE,FALSE
196,515,JONES ST,0318 006 01,17,0,12,0,5,0,17,TRUE,TRUE,515,JONES ST,0318 006 01,12,0,5,0,17,825,TRUE,TRUE,FALSE
197,545,JONES ST,0318 002 01,36,11,28,6,8,5,47,TRUE,FALSE,545,JONES ST,0318 002 01,28,6,8,5,47,879,TRUE,FALSE,FALSE
198,556,JONES ST,0317 014 01,40,0,40,0,0,0,40,TRUE,FALSE,556,JONES ST,0317 014 01,40,0,0,0,40,1100,TRUE,FALSE,FALSE
199,620,JONES ST,0305 036 01,171,0,161,0,10,0,171,TRUE,TRUE,620,JONES ST,0305 036 01,161,0,10,0,171,1700,TRUE,TRUE,FALSE
200,642,JONES ST,0305 016 01,48,3,NA,NA,NA,NA,NA,FALSE,FALSE,642,JONES ST,0305 016 01,48,0,0,3,51,1350,TRUE,TRUE,TRUE
201,649,JONES ST,0304 002 01,25,0,10,0,17,0,27,TRUE,FALSE,649,JONES ST,0304 002 01,10,0,17,0,27,846,TRUE,FALSE,FALSE
202,700,JONES ST,0298 014 01,25,0,20,0,5,0,25,TRUE,TRUE,700,JONES ST,0298 014 01,20,0,5,0,25,955,TRUE,TRUE,FALSE
203,720,JONES ST,0298 025 01,6,0,6,0,0,0,6,TRUE,TRUE,720,JONES ST,0298 025 01,6,0,0,0,6,1127.75,TRUE,TRUE,FALSE
204,1155,JONES ST,0247 001 01,6,0,5,0,1,0,5,TRUE,TRUE,1155,JONES ST,0247 001 01,5,0,1,0,5,2402.38,TRUE,TRUE,FALSE
205,179,JULIAN AV,3554 040 01,27,0,16,0,11,0,27,TRUE,TRUE,179,JULIAN AV,3554 040 01,16,0,11,0,27,1400,TRUE,TRUE,FALSE
206,649,KEARNY ST,0226 001 01,19,0,13,0,6,0,19,TRUE,TRUE,649,KEARNY ST,0226 001 01,13,0,6,0,19,352.43,TRUE,TRUE,FALSE
207,706,KEARNY ST,0208 011 01,36,0,NA,NA,NA,NA,NA,TRUE,FALSE,706,KEARNY ST,0208 011 01,36,0,22,0,36,722.22,TRUE,TRUE,TRUE
208,712,KEARNY ST,0208 012 01,18,0,19,0,0,0,19,TRUE,TRUE,712,KEARNY ST,0208 012 01,19,0,0,0,19,364.08,TRUE,TRUE,FALSE
209,833,KEARNY ST,0194 003 01,44,0,47,0,0,0,47,TRUE,TRUE,833,KEARNY ST,0194 003 01,47,0,0,0,47,524.26,TRUE,TRUE,FALSE
210,901,KEARNY ST,0177 002 01,42,0,40,0,2,0,42,TRUE,TRUE,901,KEARNY ST,0177 002 01,40,0,2,0,42,557.99,TRUE,TRUE,FALSE
211,935,KEARNY ST,0177 001 01,128,21,73,20,55,1,149,TRUE,TRUE,935,KEARNY ST,0177 001 01,73,20,55,1,149,874,TRUE,TRUE,FALSE
212,633,LARKIN ST,0740 005 01,3,11,1,7,2,4,14,TRUE,TRUE,633,LARKIN ST,0740 005 01,1,7,2,4,14,1e3,TRUE,TRUE,FALSE
213,664,LARKIN ST,0335 015 01,12,0,9,0,3,0,12,TRUE,TRUE,664,LARKIN ST,0335 015 01,9,0,3,0,12,500,TRUE,TRUE,FALSE
214,1005,LARKIN ST,0692 004 01,7,0,7,0,0,0,7,FALSE,TRUE,1005,LARKIN ST,0692 004 01,7,0,0,0,7,845.5,FALSE,TRUE,FALSE
215,1008,LARKIN ST,0301 014 01,22,7,29,0,0,0,29,TRUE,FALSE,1008,LARKIN ST,0301 014 01,29,0,0,0,29,1087,TRUE,FALSE,FALSE
216,1048,LARKIN ST,0301 016 01,36,0,22,0,13,0,35,TRUE,FALSE,1048,LARKIN ST,0301 016 01,22,0,13,0,35,1200,TRUE,FALSE,FALSE
217,1105,LARKIN ST,0669 005 01,92,0,NA,NA,NA,NA,NA,TRUE,FALSE,1105,LARKIN ST,0669 005 01,90,0,2,0,92,825,TRUE,TRUE,TRUE
218,1430,LARKIN ST,0249 017 01,20,0,0,0,0,0,0,TRUE,FALSE,1430,LARKIN ST,0249 017 01,0,0,0,0,0,607.73,TRUE,FALSE,FALSE
219,161,LEAVENWORTH ST,0345 001 01,22,13,31,0,0,4,35,TRUE,TRUE,161,LEAVENWORTH ST,0345 001 01,31,0,0,4,35,600,TRUE,TRUE,FALSE
220,201,LEAVENWORTH ST,0337 006 01,55,0,54,0,0,0,56,TRUE,TRUE,201,LEAVENWORTH ST,0337 006 01,54,0,0,0,56,650,TRUE,TRUE,FALSE
221,335,LEAVENWORTH ST,0334 003 01,19,14,NA,NA,NA,NA,NA,FALSE,FALSE,335,LEAVENWORTH ST,0334 003 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
222,711,LEAVENWORTH ST,0300 003B 01,7,0,7,0,0,0,7,TRUE,FALSE,711,LEAVENWORTH ST,0300 003B 01,7,0,0,0,7,1050,TRUE,TRUE,TRUE
223,2524,LOMBARD ST,0935 003 01,38,9,42,0,0,5,47,TRUE,TRUE,2524,LOMBARD ST,0935 003 01,42,0,0,5,47,450,TRUE,TRUE,FALSE
224,363,LYON ST,1207 001 01,6,0,NA,NA,NA,NA,NA,TRUE,FALSE,363,LYON ST,1207 001 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
225,2901,MARIPOSA ST,4019 001 01,46,0,46,0,0,0,46,TRUE,TRUE,2901,MARIPOSA ST,4019 001 01,46,0,0,0,46,655,TRUE,TRUE,FALSE
226,1139,MARKET ST,3702 045 01,31,63,23,4,8,59,94,TRUE,TRUE,1139,MARKET ST,3702 045 01,23,4,8,59,94,750,TRUE,TRUE,FALSE
227,1272,MARKET ST,0355 009 01,40,17,38,14,2,3,57,TRUE,TRUE,1272,MARKET ST,0355 009 01,38,14,2,3,57,650,TRUE,TRUE,FALSE
228,1278,MARKET ST,0355 010 01,62,18,61,18,1,0,80,TRUE,TRUE,1278,MARKET ST,0355 010 01,61,18,1,0,80,700,TRUE,TRUE,FALSE
229,1412,MARKET ST,0835 001 01,15,105,0,2,15,103,120,TRUE,TRUE,1412,MARKET ST,0835 001 01,0,2,15,103,120,0,TRUE,TRUE,FALSE
230,1657,MARKET ST,3504 046 01,19,35,NA,NA,NA,NA,NA,TRUE,FALSE,1657,MARKET ST,3504 046 01,44,0,0,10,54,620,TRUE,TRUE,TRUE
231,1751,MARKET ST,3503 003 01,9,0,8,0,1,0,9,TRUE,TRUE,1751,MARKET ST,3503 003 01,8,0,1,0,9,601.77,TRUE,TRUE,FALSE
232,1876,MARKET ST,0871 005 01,26,4,32,0,0,0,32,TRUE,TRUE,1876,MARKET ST,0871 005 01,32,0,0,0,32,795.53,TRUE,TRUE,FALSE
233,2160,MARKET ST,3542 014 01,56,4,41,4,15,0,60,TRUE,TRUE,2160,MARKET ST,3542 014 01,41,4,15,0,60,1484,TRUE,TRUE,FALSE
234,2162,MARKET ST,3542 015 01,23,12,28,1,0,6,35,TRUE,TRUE,2162,MARKET ST,3542 015 01,28,1,0,6,35,955.85,TRUE,TRUE,FALSE
235,2306,MARKET ST,3562 001 01,16,0,NA,NA,NA,NA,NA,TRUE,FALSE,2306,MARKET ST,3562 001 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
236,56,MASON ST,0341 008 01,41,16,0,0,41,16,57,TRUE,FALSE,56,MASON ST,0341 008 01,0,0,41,16,57,0,TRUE,TRUE,TRUE
237,111,MASON ST,0331 006 01,13,52,10,40,3,12,65,TRUE,TRUE,111,MASON ST,0331 006 01,10,40,3,12,65,2079.22,TRUE,TRUE,FALSE
238,140,MASON ST,0330 014 01,9,66,0,62,9,4,75,TRUE,TRUE,140,MASON ST,0330 014 01,0,62,9,4,75,0,TRUE,TRUE,FALSE
239,146,MCALLISTER ST,0348 007 01,11,0,11,0,0,0,11,TRUE,FALSE,146,MCALLISTER ST,0348 007 01,11,0,0,0,11,995,TRUE,TRUE,TRUE
240,246,MCALLISTER ST,0347 005 01,42,20,42,0,20,0,62,TRUE,TRUE,246,MCALLISTER ST,0347 005 01,42,0,20,0,62,1112.11,TRUE,TRUE,FALSE
241,45,MCCOPPIN ST,3513 057 01,9,0,NA,NA,NA,NA,NA,FALSE,FALSE,45,MCCOPPIN ST,3513 057 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
242,481,MINNA ST,3725 066 01,49,29,12,0,37,29,78,TRUE,FALSE,481,MINNA ST,3725 066 01,12,0,37,29,78,400,TRUE,FALSE,FALSE
243,936,MISSION ST,3704 013 01,124,32,NA,NA,NA,NA,NA,FALSE,FALSE,936,MISSION ST,3704 013 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
244,948,MISSION ST,3704 017 01,40,16,40,7,0,9,56,TRUE,TRUE,948,MISSION ST,3704 017 01,40,7,0,9,56,584,TRUE,TRUE,FALSE
245,1018,MISSION ST,3703 081 01,65,2,67,0,0,0,67,TRUE,TRUE,1018,MISSION ST,3703 081 01,67,0,0,0,67,680,TRUE,TRUE,FALSE
246,1288,MISSION ST,3701 022 01,81,24,76,9,3,17,105,TRUE,FALSE,1288,MISSION ST,3701 022 01,76,9,3,17,105,768,TRUE,FALSE,FALSE
247,1906,MISSION ST,3554 002 01,28,3,25,3,3,0,31,TRUE,TRUE,1906,MISSION ST,3554 002 01,25,3,3,0,31,2548.14,TRUE,TRUE,FALSE
248,1941,MISSION ST,3553 022 01,39,19,58,0,5,0,63,TRUE,TRUE,1941,MISSION ST,3553 022 01,58,0,5,0,63,600,TRUE,TRUE,FALSE
249,2030,MISSION ST,3569 004 01,13,24,5,15,8,9,37,TRUE,FALSE,2030,MISSION ST,3569 004 01,5,15,8,9,37,920,TRUE,FALSE,FALSE
250,2032,MISSION ST,3569 005 01,18,4,14,2,4,2,22,TRUE,FALSE,2032,MISSION ST,3569 005 01,14,2,4,2,22,750,TRUE,TRUE,TRUE
251,2042,MISSION ST,3569 007 01,12,0,12,0,0,0,12,TRUE,TRUE,2042,MISSION ST,3569 007 01,12,0,0,0,12,927.16,TRUE,TRUE,FALSE
252,2056,MISSION ST,3569 011 01,20,2,NA,NA,NA,NA,NA,TRUE,FALSE,2056,MISSION ST,3569 011 01,14,0,6,2,22,850,TRUE,TRUE,TRUE
253,2072,MISSION ST,3569 014 01,16,0,NA,NA,NA,NA,NA,FALSE,FALSE,2072,MISSION ST,3569 014 01,5,0,11,4,20,1500,TRUE,FALSE,FALSE
254,2084,MISSION ST,3569 015 01,50,0,42,0,8,0,50,TRUE,TRUE,2084,MISSION ST,3569 015 01,42,0,8,0,50,570,TRUE,TRUE,FALSE
255,2126,MISSION ST,3576 004 01,40,0,40,0,0,0,40,TRUE,TRUE,2126,MISSION ST,3576 004 01,40,0,0,0,40,350,TRUE,TRUE,FALSE
256,2135,MISSION ST,3575 038 01,46,0,NA,NA,NA,NA,NA,FALSE,FALSE,2135,MISSION ST,3575 038 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
257,2284,MISSION ST,3589 016 01,10,25,10,11,0,14,35,TRUE,TRUE,2284,MISSION ST,3589 016 01,10,11,0,14,35,600,TRUE,TRUE,FALSE
258,2361,MISSION ST,3595 024 01,64,23,54,21,10,2,87,TRUE,FALSE,2361,MISSION ST,3595 024 01,54,21,10,2,87,1e3,TRUE,FALSE,FALSE
259,2370,MISSION ST,3596 014 01,12,0,12,0,0,0,12,TRUE,TRUE,2370,MISSION ST,3596 014 01,12,0,0,0,12,300,TRUE,TRUE,FALSE
260,2438,MISSION ST,3609 006 01,5,9,4,0,1,9,14,TRUE,FALSE,2438,MISSION ST,3609 006 01,4,0,1,9,14,2e3,TRUE,TRUE,TRUE
261,2477,MISSION ST,3610 020 01,15,0,16,0,0,0,16,TRUE,FALSE,2477,MISSION ST,3610 020 01,16,0,0,0,16,630,TRUE,FALSE,FALSE
262,2697,MISSION ST,3637 020 01,14,10,NA,NA,NA,NA,NA,TRUE,FALSE,2697,MISSION ST,3637 020 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
263,2766,MISSION ST,3643 008 01,31,0,31,0,0,0,31,TRUE,TRUE,2766,MISSION ST,3643 008 01,31,0,0,0,31,800,TRUE,TRUE,FALSE
264,3308,MISSION ST,6635 001 01,22,6,NA,NA,NA,NA,NA,FALSE,FALSE,3308,MISSION ST,6635 001 01,0,0,22,6,28,0,TRUE,TRUE,TRUE
265,4796,MISSION ST,6956 036 01,11,0,10,0,0,0,10,TRUE,FALSE,4796,MISSION ST,6956 036 01,10,0,0,0,10,776,TRUE,TRUE,TRUE
266,5060,MISSION ST,6969 012 01,4,15,NA,NA,NA,NA,NA,FALSE,FALSE,5060,MISSION ST,6969 012 01,4,6,0,9,19,1500,TRUE,TRUE,TRUE
267,515,OCTAVIA ST,0807 003 01,11,0,NA,NA,NA,NA,NA,FALSE,FALSE,515,OCTAVIA ST,0807 003 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
268,531,OCTAVIA ST,0807 043 01,19,0,NA,NA,NA,NA,NA,FALSE,FALSE,539,OCTAVIA ST,0807 043 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
269,1916,OCTAVIA ST,0640 011 01,20,0,20,0,0,0,20,TRUE,FALSE,1916,OCTAVIA ST,0640 011 01,20,0,0,0,20,1248,TRUE,FALSE,FALSE
270,190,OFARRELL ST,0314 006 01,60,11,45,1,15,10,71,TRUE,TRUE,190,OFARRELL ST,0314 006 01,45,1,15,10,71,500,TRUE,TRUE,FALSE
271,240,OFARRELL ST,0315 010 01,78,51,59,43,19,8,129,TRUE,TRUE,240,OFARRELL ST,0315 010 01,59,43,19,8,129,932.38,TRUE,TRUE,FALSE
272,280,OFARRELL ST,0315 015 01,22,0,9,0,13,0,22,TRUE,TRUE,280,OFARRELL ST,0315 015 01,9,0,13,0,22,780.6,TRUE,TRUE,FALSE
273,411,OFARRELL ST,0324 001 01,85,35,43,38,42,0,123,TRUE,FALSE,411,OFARRELL ST,0324 001 01,43,38,42,0,123,941,TRUE,FALSE,FALSE
274,445,OFARRELL ST,0324 021 01,55,47,NA,NA,NA,NA,NA,FALSE,FALSE,445,OFARRELL ST,0324 021 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
275,505,OFARRELL ST,0323 001 01,75,5,75,5,0,0,80,TRUE,TRUE,505,OFARRELL ST,0323 001 01,75,5,0,0,80,1603.47,TRUE,TRUE,FALSE
276,570,OFARRELL ST,0318 012 01,33,5,22,1,11,4,38,TRUE,TRUE,570,OFARRELL ST,0318 012 01,22,1,11,4,38,1053,TRUE,TRUE,FALSE
277,579,OFARRELL ST,0323 028 01,19,6,2,0,17,6,25,TRUE,FALSE,579,OFARRELL ST,0323 028 01,2,0,17,6,25,650,TRUE,FALSE,FALSE
278,580,OFARRELL ST,0318 013 01,59,11,60,0,0,10,70,TRUE,TRUE,580,OFARRELL ST,0318 013 01,60,0,0,10,70,1517.28,TRUE,TRUE,FALSE
279,587,OFARRELL ST,0323 027 01,7,0,NA,NA,NA,NA,NA,FALSE,FALSE,587,OFARRELL ST,0323 027 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
280,601,OFARRELL ST,0322 001 01,7,0,7,0,0,0,7,TRUE,TRUE,601,OFARRELL ST,0322 001 01,7,0,0,0,7,1627.12,TRUE,TRUE,FALSE
281,608,OFARRELL ST,0319 007 01,26,2,19,2,7,0,28,TRUE,TRUE,608,OFARRELL ST,0319 007 01,19,2,7,0,28,900,TRUE,TRUE,FALSE
282,626,OFARRELL ST,0319 008 001,6,7,3,7,3,0,13,TRUE,TRUE,626,OFARRELL ST,0319 008 001,3,7,3,0,13,610,TRUE,TRUE,FALSE
283,788,OFARRELL ST,0320 014 01,10,0,10,0,0,0,10,TRUE,FALSE,788,OFARRELL ST,0320 014 01,10,0,0,0,10,1225,TRUE,TRUE,TRUE
284,630,PACIFIC AV,0162 006 01,18,0,18,0,0,0,18,TRUE,TRUE,630,PACIFIC AV,0162 006 01,18,0,0,0,18,200.28,TRUE,TRUE,FALSE
285,644,PACIFIC AV,0162 008 01,28,0,27,0,1,0,28,TRUE,TRUE,644,PACIFIC AV,0162 008 01,27,0,1,0,28,498.58,TRUE,TRUE,FALSE
286,656,PACIFIC AV,0162 009 01,35,0,32,0,0,0,32,TRUE,FALSE,656,PACIFIC AV,0162 009 01,32,0,0,0,32,430.39,TRUE,FALSE,FALSE
287,752,PACIFIC AV,0161 013 01,38,0,36,0,0,0,36,TRUE,FALSE,752,PACIFIC AV,0161 013 01,36,0,0,0,36,544.66,TRUE,FALSE,FALSE
288,801,PACIFIC AV,0179 001 01,20,0,NA,NA,NA,NA,NA,FALSE,FALSE,801,PACIFIC AV,0179 001 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
289,2137,PACIFIC AV,0590 015 01,8,0,8,0,0,0,8,TRUE,TRUE,2137,PACIFIC AV,0590 015 01,8,0,0,0,8,1350,TRUE,TRUE,FALSE
290,2141,PACIFIC AV,0590 014A 01,8,0,7,0,1,0,8,TRUE,TRUE,2141,PACIFIC AV,0590 014A 01,7,0,1,0,8,1082.54,TRUE,TRUE,FALSE
291,2901,PACIFIC AV,0976 001 01,16,27,9,27,7,0,43,TRUE,TRUE,2901,PACIFIC AV,0976 001 01,9,27,7,0,43,3790.25,TRUE,TRUE,FALSE
292,1500,PAGE ST,1223 004 01,38,0,NA,NA,NA,NA,NA,FALSE,FALSE,1500,PAGE ST,1223 004 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
293,1880,PAGE ST,1226 017 01,10,0,NA,NA,NA,NA,NA,FALSE,FALSE,1880,PAGE ST,1226 017 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
294,1890,PAGE ST,1226 018 01,7,0,7,0,0,0,7,TRUE,TRUE,1890,PAGE ST,1226 018 01,7,0,0,0,7,1649.41,TRUE,TRUE,FALSE
295,614,PINE ST,0257 009 01,40,22,37,21,3,1,62,TRUE,TRUE,614,PINE ST,0257 009 01,37,21,3,1,62,536,TRUE,TRUE,FALSE
296,899,PINE ST,0273 013 01,19,0,17,0,2,0,19,TRUE,TRUE,899,PINE ST,0273 013 01,17,0,2,0,19,2210,TRUE,TRUE,FALSE
297,966,PINE ST,0254 018 01,8,0,4,0,4,0,8,TRUE,FALSE,966,PINE ST,0254 018 01,4,0,4,0,8,600,TRUE,TRUE,TRUE
298,1026,PINE ST,0253 007 01,21,0,19,0,2,9,21,TRUE,TRUE,1026,PINE ST,0253 007 01,19,0,2,9,21,399,TRUE,TRUE,FALSE
299,1055,PINE ST,0275 009 01,59,0,81,0,0,0,81,TRUE,FALSE,1055,PINE ST,0275 009 01,81,0,0,0,81,1076,TRUE,FALSE,FALSE
300,1485,PINE ST,0668 009 01,61,2,57,0,3,2,62,TRUE,TRUE,1485,PINE ST,0668 009 01,57,0,3,2,62,500,TRUE,TRUE,FALSE
301,610,POLK ST,0741 006A 01,36,48,33,46,3,2,84,TRUE,TRUE,610,POLK ST,0741 006A 01,33,46,3,2,84,600,TRUE,TRUE,FALSE
302,706,POLK ST,0740 014 01,29,55,0,0,29,55,84,TRUE,TRUE,706,POLK ST,0740 014 01,0,0,29,55,84,0,TRUE,TRUE,FALSE
303,743,POLK ST,0739 001 01,19,0,19,0,0,0,19,TRUE,TRUE,743,POLK ST,0739 001 01,19,0,0,0,19,717,TRUE,TRUE,FALSE
304,1214,POLK ST,0669 011 01,66,0,NA,NA,NA,NA,NA,TRUE,FALSE,1214,POLK ST,0669 011 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
